time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name,sentiment
2020-06-08 18:12:11-04:00,BA,company soars new street high price target cornerstone macro carter worth levels watch company stock takes cnbc melissa lee fast money traders guy adami tim seymour dan nathan jeff mills,"Cornerstone Macro's Carter Worth with the levels to watch in Boeing as the stock takes off. With CNBC's Melissa Lee and the Fast Money traders, Guy Adami, Tim Seymour, Dan Nathan and Jeff Mills.",https://www.youtube.com/watch?v=gHUQ6NG4uMo,Positive,Boeing soars on new Street-high price target,CNBC Television,0
2020-06-08 16:34:42-04:00,BA,stocks keep running company soars microsoft amazon hit buy points stocks keep running company soars microsoft amazon hit buy points,"Stocks keep running: Boeing soars again, Microsoft, Amazon hit buy points.",https://www.youtube.com/watch?v=93wKw3s-_8o,Positive,"Stocks Keep Running: Boeing Soars; Microsoft, Amazon Hit Buy Points",Investors Business Daily,0
2020-06-08 16:26:30-04:00,BA,company soars buy rating seaport global yahoo finance emily mccormick joins heidi chung discuss latest outlook company amid coronavirus pandemic,Yahoo Finance’s Emily McCormick joins Heidi Chung to discuss the latest outlook for Boeing amid the coronavirus pandemic.,https://www.youtube.com/watch?v=ooBm9t8gsd4,Positive,Boeing soars after 'buy' rating from Seaport Global,Yahoo Finance,0
2020-06-08 15:11:13-04:00,BA,bad news company already priced aerospace defense analyst richard safran seaport global securities senior aerospace defense analyst joins power lunch discuss bullish company air travel stocks move following reopening economy,"Richard Safran, Seaport Global Securities senior aerospace and defense analyst, joins 'Power Lunch' to discuss why he's bullish on Boeing as air travel stocks are on the move following a reopening economy.",https://www.youtube.com/watch?v=BWnxC45jOcQ,Positive,Most bad news for Boeing already priced in: Aerospace and defense analyst,CNBC Television,0
2020-06-08 14:43:42-04:00,BA,company top short despite recent rally june strong start nasdaq p historic performances unemployment rate decreasing however deep learning ai suggests top stocks short week,"June has been off to as strong start with Nasdaq and S&P 500 having historic performances and the unemployment rate decreasing to 13.3%. However, our deep learning AI suggests these are the top stocks to short this week.",https://www.forbes.com/sites/qai/2020/06/08/boeing-a-top-short-despite-recent-rally/,Negative,Boeing A Top Short Despite Recent Rally,Forbes,0
2020-06-08 14:07:00-04:00,BA,dow jones jumps points company stock surges big tech lags behind company another good day analysts strike optimistic tone said big tech stocks,Boeing is having another good day as analysts strike an optimistic tone. The same can't be said for big tech stocks.,https://www.fool.com/investing/2020/06/08/dow-jones-jumps-200-points-as-boeing-stock-surges.aspx,Positive,"Dow Jones Jumps 200 Points as Boeing Stock Surges, Big Tech Lags Behind",The Motley Fool,0
2020-06-08 12:31:00-04:00,BA,shares company rallying today wall street warming aerospace recovery,Wall Street is warming to an aerospace recovery.,https://www.fool.com/investing/2020/06/08/why-shares-of-boeing-are-rallying-today.aspx,Positive,Why Shares of Boeing Are Rallying Today,The Motley Fool,0
2020-06-08 10:51:09-04:00,BA,company stock trading higher today company nyse ba shares trading higher monday seaport global initiated coverage company stock buy rating announced price target,"Boeing (NYSE: BA) shares are trading higher on Monday, after Seaport Global initiated coverage on the company's stock with a Buy rating and announced a $277 price target.",https://www.benzinga.com/news/20/06/16202408/why-boeings-stock-is-trading-higher-today,Positive,Why Boeing's Stock Is Trading Higher Today,Benzinga,0
2020-06-08 10:28:00-04:00,BA,aerospace stocks gain u air travel increases passengers start travel demand repair overhaul services projected increase leading growth opportunities aerospace stocks serve commercial aftermarket,"As more passengers start to travel, demand for repair and overhaul services are projected to increase, leading to growth opportunities for Aerospace stocks that serve the commercial aftermarket",http://www.zacks.com/stock/news/971405/4-aerospace-stocks-to-gain-as-us-air-travel-increases,Positive,4 Aerospace Stocks to Gain as U.S. Air Travel Increases,Zacks Investment Research,0
2020-06-08 10:25:42-04:00,BA,company stock jumps analyst says worst priced shares company co ba rallied nearly monday adding points dow jones industrial average djia leading index analysts seaport global initiated coverage shares buy travel related stocks also gained,"Shares of Boeing Co. BA, +12.88% rallied nearly 12% on Monday, adding more than 150 points to the Dow Jones Industrial Average DJIA, +0.69% and leading the index after analysts at Seaport Global initiated coverage of the shares at a buy and travel-related stocks also gained.",https://www.marketwatch.com/story/boeing-stock-jumps-after-analyst-says-worst-is-priced-in-2020-06-08,Positive,Boeing stock jumps after analyst says 'worst is priced in',Market Watch,0
