time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name,sentiment
2019-04-18 14:08:48-04:00,ZM,zoom surged high trading debut nasdaq cnbc exchange zoom video communications,"CNBC's ""The Exchange"" on Zoom Video Communications.",https://www.youtube.com/watch?v=DuVNFt5J_Jg&t=156s,Positive,Zoom surged as high as 80% in trading debut on Nasdaq,CNBC Television,0
2019-04-18 15:45:32-04:00,ZM,pool ipos highest percentage unprofitable companies pro cnbc closing bell team joined paul hickey bespoke investment group steve grasso stuart frankel discuss markets moving means ipos,"CNBC's ""Closing Bell"" team is joined by Paul Hickey of Bespoke Investment Group and Steve Grasso of Stuart Frankel to discuss how the markets are moving and what it means for the IPOs.",https://www.youtube.com/watch?v=FD14hjfj82c,Neutral,This pool of IPOs has highest percentage of unprofitable companies: Pro,CNBC Television,0
2019-04-18 16:52:12-04:00,ZM,zoom video communications soared first day trading united rentals seeing strong domestic economy zoom video communications soared first day trading united rentals seeing strong domestic economy,"Zoom Video Communications soared on its first day of trading, and United Rentals is seeing a strong domestic economy.",https://www.fool.com/investing/2019/04/18/what-happened-in-the-stock-market-today.aspx?source=iedfolrf0000001,Positive,"Zoom Video Communications soared on its first day of trading, and United Rentals is seeing a strong domestic economy.",The Motley Fool,0
2019-04-18 17:49:02-04:00,ZM,pinterest zoom ipos overpriced says expert james gellert ceo rapidratings brian hamilton co founder sageworks discuss pinterest zoom first day trading cnbc closing bell,"James Gellert, CEO of RapidRatings, and Brian Hamilton, co-founder of Sageworks, discuss Pinterest's and Zoom's first day of trading on CNBC's ""Closing Bell.""",https://www.youtube.com/watch?v=1pzyGOmJkY0,Negative,"Pinterest and Zoom IPOs are overpriced, says expert",CNBC Television,0
2019-04-18 18:21:18-04:00,ZM,pinterest zoom surge next ipo parade cnbc melissa lee fast money traders tim seymour brian kelly steve grasso guy adami,"With CNBC's Melissa Lee and the Fast Money traders, Tim Seymour, Brian Kelly, Steve Grasso and Guy Adami.",https://www.youtube.com/watch?v=gIKpzh4iFvY,Positive,Pinterest and Zoom surge. What's next in the IPO parade?,CNBC Television,0
2019-04-18 18:31:00-04:00,ZM,zoom stock soared first day trading good reason hype surrounding video conferencing company ipo,There's good reason for the hype surrounding this video conferencing company's IPO.,https://www.fool.com/investing/2019/04/18/why-zoom-stock-soared-on-its-first-day-of-trading.aspx?source=iedfolrf0000001,Positive,Why Zoom Stock Soared on Its First Day of Trading,The Motley Fool,0
2019-04-18 18:33:00-04:00,ZM,cramer overvalued stocks like pinterest zoom could lead market peak top market always comes tremendous euphoria today saw euphoria two deals went hot jim cramer says,"""The top of the market always comes when there is tremendous euphoria, and today we saw that euphoria in the two deals that went off hot,"" Jim Cramer says.",https://www.cnbc.com/2019/04/18/cramer-overvalued-stocks-pinterest-zoom-could-lead-to-a-peak.html,Positive,"Cramer: Overvalued stocks like Pinterest, Zoom could lead to a market peak",CNBC,0
2019-04-18 21:34:41-04:00,ZM,unicorn ipo race pinterest run wire longshot zoom two tech companies different receptions investors wall street debuts thursday much anticipated consumer unicorn company pinterest strong showing overshadowed zoom video saw jump debut reminiscent dot com era ipos,"Two tech companies had different receptions from investors in their Wall Street debuts Thursday, as the much-anticipated consumer unicorn company Pinterest’s strong showing was overshadowed by Zoom Video, which saw a 72.2% jump in its debut, reminiscent of some of the dot-com era IPOs.",http://feeds.marketwatch.com/~r/marketwatch/internet/~3/h2oDtu_NHlw/story.asp,Positive,"In a unicorn IPO race, Pinterest is run down at the wire by longshot Zoom",Market Watch,0
2019-04-19 07:00:00-04:00,ZM,zoom zoom zoom exclusive inside story new billionaire behind tech hottest ipo zoom ipo wowed wall street behind billion market cap bonanza new billionaire eric yuan immigrant founder whose video conference app works better,"Zoom's IPO wowed Wall Street. Behind the $16 billion market cap bonanza: new billionaire Eric Yuan, the immigrant founder whose video conference app just works better.",https://www.forbes.com/sites/alexkonrad/2019/04/19/zoom-zoom-zoom-the-exclusive-inside-story-of-the-new-billionaire-behind-techs-hottest-ipo/,Positive,"Zoom, Zoom, Zoom! The Exclusive Inside Story Of The New Billionaire Behind Tech’s Hottest IPO",Forbes,0
2019-04-19 08:00:00-04:00,ZM,zoom ceo emigrated china years ago spoke little english worth billion eric yuan started zoom helping build webex company worth billion ipo yuan owns,"Eric Yuan started Zoom in 2011 after helping build WebEx. His company is now worth $15.9 billion after its IPO, and Yuan owns about 20%.",https://www.cnbc.com/2019/04/18/zoom-ceo-eric-yuan-worth-3-billion-after-ipo-profile.html,Positive,Zoom's CEO emigrated from China 22 years ago and spoke little English — now he's worth $3 billion,CNBC,0
2019-04-19 23:36:37-04:00,ZM,zoom grow sustaining profitability sequoia eschenbach says apr carl eschenbach sequoia capital partner discusses zoom video communications inc trading debut profitability bloomberg emily chang bloomberg technology,"Apr.18 -- Carl Eschenbach, Sequoia Capital partner, discusses Zoom Video Communications Inc.'s trading debut and profitability with Bloomberg's Emily Chang on ""Bloomberg Technology.",https://www.youtube.com/watch?v=sBxFgj-V6As,Positive,"Zoom Can Grow While Sustaining Its Profitability, Sequoia's Eschenbach Says",Bloomberg Technology,0
