time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name
2020-06-03 06:00:00-04:00,PEP,pepsico appoints wern yuen tan chief executive officer asia pacific australia new zealand china business purchase n june prnewswire pepsico inc nasdaq pep today announced wern yuen tan appointed chief executive officer asia pacific australia new zealand china apac overseeing pepsico operations region mr tan begin,"PURCHASE, N.Y., June 3, 2020 /PRNewswire/ -- PepsiCo, Inc. (NASDAQ: PEP) today announced that Wern-Yuen Tan has been appointed Chief Executive Officer of Asia Pacific, Australia, New Zealand and China (""APAC""), overseeing all of PepsiCo's operations in the region. Mr. Tan, who will begin...",https://www.prnewswire.com/news-releases/pepsico-appoints-wern-yuen-tan-as-chief-executive-officer-of-asia-pacific-australia-new-zealand-and-china-business-301069853.html,Neutral,"PepsiCo Appoints Wern-Yuen Tan As Chief Executive Officer Of Asia Pacific, Australia, New Zealand And China Business",PRNewsWire
2020-06-02 17:45:16-04:00,PEP,pepsico pep stock sinks market gains know pepsico pep closed recent trading day moving previous trading session,"PepsiCo (PEP) closed the most recent trading day at $132.63, moving -0.27% from the previous trading session.",http://www.zacks.com/stock/news/959665/pepsico-pep-stock-sinks-as-market-gains-what-you-should-know,Negative,PepsiCo (PEP) Stock Sinks As Market Gains: What You Should Know,Zacks Investment Research
2020-06-01 11:10:38-04:00,PEP,like dividends love stocks group companies offers reliable dividend payouts,This group of companies offers reliable dividend payouts.,https://www.fool.com/investing/2020/06/01/like-dividends-youll-love-these-5-stocks.aspx,Positive,Like Dividends? You'll Love These 5 Stocks,The Motley Fool
2020-06-01 09:08:37-04:00,PEP,pepsico top dividend stock nasdaq yield pepsico named top dividend stock nasdaq according dividend channel published recent dividendrank report,"PepsiCo has been named as the ''Top Dividend Stock of the Nasdaq 100'', according to Dividend Channel, which published its most recent ''DividendRank'' report.",https://www.forbes.com/sites/dividendchannel/2020/06/01/why-pepsico-is-the-top-dividend-stock-of-the-nasdaq-100-with-31-yield/,Positive,Why PepsiCo Is The ‘Top Dividend Stock Of The Nasdaq 100’ With 3.1% Yield,Forbes
2020-05-28 11:31:09-04:00,PEP,pepsico pep since last earnings report pepsico pep reported earnings days ago next stock,PepsiCo (PEP) reported earnings 30 days ago. What's next for the stock?,http://www.zacks.com/stock/news/949492/why-is-pepsico-pep-down-19-since-last-earnings-report,Negative,Why Is PepsiCo (PEP) Down 1.9% Since Last Earnings Report?,Zacks Investment Research
2020-05-27 17:45:16-04:00,PEP,pepsico pep gains lags market know pepsico pep closed recent trading day moving previous trading session,"PepsiCo (PEP) closed the most recent trading day at $130.81, moving +0.82% from the previous trading session.",http://www.zacks.com/stock/news/947963/pepsico-pep-gains-but-lags-market-what-you-should-know,Positive,PepsiCo (PEP) Gains But Lags Market: What You Should Know,Zacks Investment Research
2020-05-26 09:22:00-04:00,PEP,pepsico announces timing availability second quarter financial results purchase n may prnewswire pepsico inc nasdaq pep today announced issue second quarter ending june financial results related information monday july posting following materials links company,"PURCHASE, N.Y., May 26, 2020 /PRNewswire/ -- PepsiCo, Inc. (NASDAQ: PEP) today announced that it will issue its second quarter 2020 (ending June 13) financial results and other related information on Monday, July 13, 2020 by posting the following materials and links on the company's...",https://www.prnewswire.com/news-releases/pepsico-announces-timing-and-availability-of-second-quarter-2020-financial-results-301065162.html,Neutral,PepsiCo Announces Timing and Availability of Second Quarter 2020 Financial Results,PRNewsWire
2020-05-22 09:30:00-04:00,PEP,pepsico stock grew times revenue growth companies become larger revenue growth slows fewer number avenues expand yet often good investments pepsico proven,"As companies become larger, revenue growth slows down as there are fewer number of avenues to expand. Yet, they often are good investments, as PepsiCo has proven.",https://www.forbes.com/sites/greatspeculations/2020/05/22/how-pepsicos-stock-grew-40-more-than-6-times-its-revenue-growth/,Positive,"How PepsiCo’s Stock Grew 40%, More Than 6 Times Its Revenue Growth",Forbes
2020-05-20 09:30:00-04:00,PEP,pepsico launches million initiative help u communities hardest hit covid new york may prnewswire response alarming evidence continued disparate negative impact covid pepsico inc nasdaq pep philanthropic arm pepsico foundation today launched initiative provide increased medical economic aid,"NEW YORK, May 20, 2020 /PRNewswire/ -- In response to alarming evidence of the continued disparate, negative impact of COVID-19, PepsiCo, Inc. (NASDAQ: PEP) and its philanthropic arm, The PepsiCo Foundation, today launched an initiative to provide increased medical and economic aid to...",https://www.prnewswire.com/news-releases/pepsico-launches-7-million-initiative-to-help-us-communities-hardest-hit-by-covid-19-301062270.html,Neutral,PepsiCo Launches $7 Million Initiative To Help U.S. Communities Hardest Hit By COVID-19,PRNewsWire
2020-05-16 02:46:42-04:00,PEP,pepsico cuts grocery stores sells directly consumers new websites shopping habits changed coronavirus outbreak companies responding quickly pepsico cutting grocery stores selling directly consumers two new websites launched month,"Shopping habits have changed because of the coronavirus outbreak, and companies are responding quickly. PepsiCo is cutting out the grocery stores and selling directly to consumers through two new websites it launched this month.",https://www.forbes.com/sites/lanabandoim/2020/05/16/pepsico-cuts-out-grocery-stores-and-sells-directly-to-consumers-through-new-websites/,Neutral,PepsiCo Cuts Out Grocery Stores And Sells Directly To Consumers Through New Websites,Forbes
