time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name
2020-06-08 11:35:44-04:00,EBAY,company shares rally past month analysts question whether covid related growth last company inc company shares rallied nearly past month analysts question whether sales growth company experienced covid lockdowns last,"Ebay Inc. EBAY, -1.62% shares have rallied nearly 15% over the past month, but analysts question whether sales growth the company experienced during COVID-19 lockdowns can last.",https://www.marketwatch.com/story/ebay-shares-rally-over-the-past-month-but-analysts-question-whether-covid-19-related-growth-can-last-2020-06-08,Neutral,Ebay shares rally over the past month but analysts question whether COVID-19-related growth can last,Market Watch
2020-06-08 08:55:00-04:00,EBAY,company announces offer consent solicitation notes due san jose calif june prnewswire company inc nasdaq company company announced today commenced cash tender offer offer outstanding million aggregate principal amount notes due notes company,"SAN JOSE, Calif., June 8, 2020 /PRNewswire/ -- eBay Inc. (Nasdaq: EBAY) (the ""Company"") announced today that it has commenced a cash tender offer (the ""Offer"") for any and all of its outstanding $750 million aggregate principal amount 2.875% Notes due 2021 (the ""Notes""). The Company...",https://www.prnewswire.com/news-releases/ebay-announces-offer-and-consent-solicitation-for-any-and-all-of-its-2-875-notes-due-2021--301071983.html,Neutral,eBay Announces Offer and Consent Solicitation for Any and All of its 2.875% Notes due 2021,PRNewsWire
2020-06-08 07:55:00-04:00,EBAY,online retail sales poised grow stocks buy people staying indoors fears coronavirus spreading online retail sales gaining popularity,"As more people are staying indoors on fears of coronavirus spreading, online retail sales have been gaining popularity.",http://www.zacks.com/stock/news/971055/online-retail-sales-poised-to-grow-in-2020-4-stocks-to-buy,Positive,Online Retail Sales Poised to Grow in 2020: 4 Stocks to Buy,Zacks Investment Research
2020-06-08 06:58:00-04:00,EBAY,nasdaq rally continues unabated hot picks pick five stocks trade nasdaq positioned grow index rally continues june,Here we pick five stocks that trade on Nasdaq and are positioned to grow as the index's rally continues in June.,http://www.zacks.com/stock/news/970943/nasdaqs-rally-continues-unabated-5-hot-picks,Positive,Nasdaq's Rally Continues Unabated: 5 Hot Picks,Zacks Investment Research
2020-06-07 10:40:00-04:00,EBAY,company upped guidance great big question remains company active customer base grow nearly much revenue suggesting sales surge may persist,"The company's active customer base didn't grow nearly as much as revenue did, suggesting the sales surge may not persist.",https://www.fool.com/investing/2020/06/07/ebays-upped-guidance-great-but-1-question-remains.aspx,Positive,"eBay's Upped Q2 Guidance Is Great, But 1 Big Question Remains",The Motley Fool
2020-06-06 10:30:00-04:00,EBAY,company stock climbed last month e commerce company seeing big tailwinds heightened online retail engagement,The e-commerce company is seeing big tailwinds from heightened online retail engagement.,https://www.fool.com/investing/2020/06/06/why-ebay-stock-climbed-143-last-month.aspx,Positive,Why eBay Stock Climbed 14.3% Last Month,The Motley Fool
2020-06-05 13:41:46-04:00,EBAY,final trades slack tjx ford halftime report traders give top picks watch second half,"The ""Halftime Report"" traders give their top picks to watch for the second half.",https://www.youtube.com/watch?v=--V74xAzuag,Positive,"Final Trades: Slack, TJX, Ford & more",CNBC Television
2020-06-05 12:28:00-04:00,EBAY,company continue surge higher late definitely great time investor company,"As of late, it has definitely been a great time to be an investor of eBay",http://www.zacks.com/stock/news/967073/will-ebay-continue-to-surge-higher,Positive,Will eBay Continue to Surge Higher?,Zacks Investment Research
2020-06-05 11:39:00-04:00,EBAY,nasdaq hits new highs best stocks etf nasdaq index hit time high intraday trading june becoming first major u index reach record highs coronavirus plunge,"The Nasdaq 100 index hit an all-time high in intraday trading on June 4, becoming the first major U.S. index to reach record highs after coronavirus plunge.",http://www.zacks.com/stock/news/965477/nasdaq-100-hits-new-highs-5-best-stocks-in-the-etf,Positive,Nasdaq 100 Hits New Highs: 5 Best Stocks in the ETF,Zacks Investment Research
2020-06-05 09:29:00-04:00,EBAY,company company lifts guidance amid coronavirus pandemic company company raises second quarter earnings guidance reflect higher online sales amid coronavirus pandemic,eBay (EBAY) raises its second-quarter earnings guidance to reflect higher online sales amid the coronavirus pandemic.,http://www.zacks.com/stock/news/965405/ebay-ebay-lifts-q2-guidance-amid-coronavirus-pandemic,Positive,eBay (EBAY) Lifts Q2 Guidance Amid Coronavirus Pandemic,Zacks Investment Research
2020-06-05 09:15:00-04:00,EBAY,like e commerce companies amid covid pandemic company seeing surge demand company boosts guidance pandemic drives online orders,eBay boosts its guidance as the pandemic drives online orders.,https://www.fool.com/investing/2020/06/05/like-other-e-commerce-companies-amid-the-covid-19.aspx,Positive,"Like Other E-Commerce Companies Amid the COVID-19 Pandemic, eBay Is Seeing a Surge in Demand",The Motley Fool
2020-06-04 16:59:00-04:00,EBAY,company airline stocks lead nasdaq new intraday record market hold onto gains stocks finished strong,"The market couldn't hold onto its gains, but these stocks finished strong.",https://www.fool.com/investing/2020/06/04/ebay-airline-stocks-lead-nasdaq-100-to-new-intrada.aspx,Positive,"eBay, Airline Stocks Lead Nasdaq 100 to New Intraday Record",The Motley Fool
