time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name
2020-06-08 19:14:55-04:00,AAPL,cramer stocks helped power nasdaq new record high pandemic cnbc jim cramer details stocks helped power nasdaq time intraday high monday explains representative market airline cruise stocks,"CNBC's Jim Cramer details the stocks that helped power the Nasdaq to an all-time intraday high Monday and explains why they are ""more representative"" of the market than airline and cruise stocks.",https://www.youtube.com/watch?v=rvPSojcJgRE,Positive,Cramer: These 10 stocks helped power the Nasdaq to a new record high during the pandemic,CNBC Television
2020-06-08 16:13:09-04:00,AAPL,analyst explains company needs acquire duckduckgo search giant alphabet inc nasdaq goog pays company inc nasdaq aapl billion year search platform made default ios search engine company,Search giant Alphabet Inc (NASDAQ: GOOG) pays Apple Inc. (NASDAQ: AAPL) $7 to $8 billion a year so its search platform is made the default iOS search engine and Apple.,https://invezz.com/news/2020/06/08/analyst-explains-why-apple-needs-to-acquire-duckduckgo/,Neutral,Analyst explains why Apple needs to acquire DuckDuckGo,Invezz
2020-06-08 16:12:20-04:00,AAPL,insider outperformance key takeaways benefit significantly insider trades one discussed stock market topics unfortunately lack knowledge insider returns,"Insider trades are one of the most-discussed stock market topics out there. Unfortunately, there's a lack of knowledge about insider returns.",https://seekingalpha.com/article/4352633-insider-outperformance-key-takeaways-and-how-to-benefit-significantly-from,Positive,Insider Outperformance: Key Takeaways And How To Benefit Significantly From It,Seeking Alpha
2020-06-08 15:11:13-04:00,AAPL,company could first trillion valuation end dan ives wedbush securities managing director dan ives joins yahoo finance heidi chung discuss believes company trillion valuation,Wedbush Securities Managing Director Dan Ives joins Yahoo Finance’s Heidi Chung to discuss why he believes Apple will have a $2 trillion valuation by 2021.,https://www.youtube.com/watch?v=B8myb6jOe8c,Positive,Apple could be first $2 trillion valuation by end of 2021: Dan Ives,Yahoo Finance
2020-06-08 14:55:00-04:00,AAPL,company gears offer services bundled package deal source code company upcoming ios reveals mentions bundled subscriptions,Source code for Apple's upcoming iOS reveals mentions of bundled subscriptions.,https://www.fool.com/investing/2020/06/08/apple-gears-up-to-offer-services-as-a-bundled-pack.aspx,Positive,Apple Gears up to Offer Services as a Bundled Package Deal,The Motley Fool
2020-06-08 14:16:20-04:00,AAPL,munster says radar company tv contribute cupertino net income growth company inc nasdaq aapl streaming service company tv part services segment launched november radar investors according gene munster loup ventures,"Apple Inc.'s (NASDAQ: AAPL) streaming service Apple TV+, which is part of the Services segment and was launched November 2019, should be on the radar of investors, according to Gene Munster of Loup Ventures.",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16203127/munster-says-under-the-radar-apple-tv-will-contribute-20-of-cupertinos-net-income-g,Positive,Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth,Benzinga
2020-06-08 13:31:14-04:00,AAPL,buy adobe company amazon tech stocks market hit new highs ben rains look continued market rally major u indexes returning pre coronavirus highs episode dives adobe company amazon see tech giants worth buying near new highs,"Ben Rains look at the continued market rally that has the major U.S. indexes returning to their pre-coronavirus highs. The episode then dives into Adobe, Apple, and Amazon, to see if any of the tech giants are worth buying near their new highs.",https://www.youtube.com/watch?v=nqIDApBsixk,Neutral,"Buy Adobe, Apple & Amazon as Tech Stocks and the Market Hit New Highs?",Zacks Investment Research
2020-06-08 13:05:28-04:00,AAPL,company introduce interest free monthly payment plans buy products via company card bloomberg reported saturday company inc nasdaq aapl planning launching new mode payments potential customers products including macs ipads airpods,"Bloomberg reported on Saturday that Apple Inc. (NASDAQ: AAPL) is planning on launching a new mode of payments for potential customers of its products, including Macs, iPads, and AirPods.",https://invezz.com/news/2020/06/08/apple-to-introduce-interest-free-monthly-payment-plans-to-buy-products-via-apple-card/,Positive,Apple to introduce interest-free monthly payment plans to buy products via Apple Card,Invezz
2020-06-08 11:29:14-04:00,AAPL,best blue chip stocks buy investors need differentiate speculative stocks rising higher ever proven blue chip stocks stick latter,"Investors need to differentiate between speculative stocks rising higher than ever and proven blue-chip stocks, and stick to the latter.",https://investorplace.com/2020/06/7-of-the-best-blue-chip-stocks-to-buy/,Positive,7 of the Best Blue-Chip Stocks to Buy,InvestorPlace
2020-06-08 11:20:38-04:00,AAPL,company offer interest financing products cardholders company adding benefits lure customers getting credit card company card holders soon able buy wider selection iphone maker products interest free installment plans spread months,Apple is adding more benefits to lure customers into getting its credit card. Apple Card holders will soon be able to buy a wider selection of the iPhone-maker’s products on interest-free installment plans spread out over 12 or 24 months.,https://nypost.com/2020/06/08/apple-to-offer-no-interest-financing-on-products-for-cardholders/,Neutral,Apple to offer no-interest financing on products for cardholders,New York Post
2020-06-08 11:01:00-04:00,AAPL,company aapl prepping monthly payment plans company card company aapl reportedly prepares extend interest free payment offering devices beyond iphone company card holders bid boost device sales card enrollment amid coronavirus pandemic,Apple (AAPL) reportedly prepares to extend interest-free payment offering to devices beyond iPhone to Apple Card holders in a bid to boost device sales and card enrollment amid coronavirus pandemic.,http://www.zacks.com/stock/news/971584/apple-aapl-prepping-monthly-payment-plans-for-apple-card,Neutral,Apple (AAPL) Prepping Monthly Payment Plans for Apple Card,Zacks Investment Research
2020-06-08 10:45:20-04:00,AAPL,company stock recovers pandemic record high official company nasdaq aapl shaken coronavirus,It’s official. Apple (NASDAQ: AAPL) has shaken off the coronavirus.,https://247wallst.com/technology-3/2020/06/08/apple-stock-recovers-from-pandemic-with-record-high/,Positive,Apple Stock Recovers From Pandemic With Record High,24/7 Wall Street
2020-06-08 10:40:50-04:00,AAPL,could company millionaire maker stock tech giant continue past growth trend expanding beyond iphones ipads macs,"Can the tech giant continue its past growth trend by expanding beyond iPhones, iPads, and Macs?",https://www.fool.com/investing/2020/06/08/could-apple-be-a-millionaire-maker-stock.aspx,Positive,Could Apple Be a Millionaire Maker Stock?,The Motley Fool
2020-06-08 09:45:00-04:00,AAPL,company roll installment plans devices company customers able spread payments company devices long months without paying interest,Apple customers will be able to spread out payments for Apple devices over as long as 12 months without paying interest.,https://www.fool.com/investing/2020/06/08/apple-to-roll-out-installment-plans-for-its-device.aspx,Positive,Apple to Roll Out Installment Plans for Its Devices,The Motley Fool
2020-06-08 09:21:34-04:00,AAPL,company services sales king company services sales king,Why Apple's 'Services' Sales Are King,https://seekingalpha.com/article/4352507-why-apples-services-sales-are-king,Positive,Why Apple's 'Services' Sales Are King,Seeking Alpha
2020-06-08 09:10:00-04:00,AAPL,company iphone delay mars broadcom view puts suppliers risk company aapl possibly delaying launch iphone indicated broadcom revenue outlook likely create pressure suppliers well least near term,"Apple (AAPL) is possibly delaying the launch of iPhone 12, as indicated by Broadcom's Q3 revenue outlook. This is likely to create pressure on its other suppliers as well at least in the near term.",http://www.zacks.com/stock/news/971215/apple-iphone-delay-mars-broadcom-view-puts-suppliers-at-risk,Negative,"Apple iPhone Delay Mars Broadcom View, Puts Suppliers at Risk",Zacks Investment Research
2020-06-08 07:16:00-04:00,AAPL,reasons wall street v shaped recovery continue reopening economy recently released better expected economic data strengthened investors confidence u stocks,Reopening of the economy and recently released better-than expected economic data strengthened investors' confidence in U.S. stocks.,http://www.zacks.com/stock/news/970971/4-reasons-why-wall-streets-v-shaped-recovery-should-continue,Positive,4 Reasons Why Wall Street's V-Shaped Recovery Should Continue,Zacks Investment Research
2020-06-08 06:05:00-04:00,AAPL,race trillion company amazon microsoft analysts predict three companies make trillion market capitalization sooner might think,Analysts predict these three companies will make it to a $2 trillion market capitalization sooner than you might think.,https://www.fool.com/investing/2020/06/08/the-race-to-2-trillion-apple-amazon-or-microsoft.aspx,Neutral,"The Race to $2 Trillion: Apple, Amazon, or Microsoft?",The Motley Fool
2020-06-08 04:34:09-04:00,AAPL,company gets patent socially distanced group selfies company inc nasdaq aapl received patent synthetic group selfie united states patent trademark office first reported patently company,"Apple Inc. (NASDAQ: AAPL) has received a patent for ""synthetic group selfie"" from the United States Patent and Trademark Office, as first reported by Patently Apple.",https://www.benzinga.com/news/20/06/16198560/apple-gets-patent-for-socially-distanced-group-selfies,Positive,Apple Gets Patent For Socially-Distanced Group Selfies,Benzinga
2020-06-06 22:59:08-04:00,AAPL,stocks week buy company computer ansys week market outlook pair short term trading recommendations week,Here is the week’s market outlook and a pair of short-term trading recommendations for the week.,https://www.forbes.com/sites/greatspeculations/2020/06/06/stocks-this-week-buy-apple-computer-and-ansys/,Positive,Stocks This Week: Buy Apple Computer And ANSYS,Forbes
2020-06-06 18:20:00-04:00,AAPL,company card installment plan coming soon airpods ipads macs says report company reportedly introduce interest free payment plan coming weeks company already offers company card installment plan iphone,"Apple will reportedly introduce an interest-free payment plan ""in the coming weeks."" The company already offers an Apple Card installment plan for the iPhone.",https://www.cnet.com/personal-finance/apple-card-installment-plan-coming-soon-for-airpods-ipads-macs-says-report/,Neutral,"Apple Card installment plan coming soon for AirPods, iPads, Macs, says report",CNET
2020-06-06 13:30:12-04:00,AAPL,u stocks buy coronavirus weakness bad coronavirus short term problem pass beaten coronavirus stocks buy rebound big way,"As bad as it is, the coronavirus is a short-term problem. It will pass, and when it does, these beaten-up coronavirus stocks to buy will rebound in a big way.",https://investorplace.com/2020/06/7-u-s-stocks-to-buy-on-coronavirus-weakness/,Positive,7 U.S. Stocks to Buy on Coronavirus Weakness,InvestorPlace
2020-06-06 10:50:00-04:00,AAPL,company tv could still reach million subscribers company overcome slow start streaming,Here's how Apple can overcome its slow start in streaming.,https://www.fool.com/investing/2020/06/06/apple-tv-could-still-reach-100-million-subscribers.aspx,Positive,Apple TV+ Could Still Reach 100 Million Subscribers,The Motley Fool
2020-06-06 09:15:00-04:00,AAPL,retired consider buying stocks combining dividends growth may great way extend life portfolio retirement,Combining dividends and growth may be a great way to extend the life of your portfolio in retirement.,https://www.fool.com/investing/2020/06/06/if-youre-retired-consider-buying-these-7-stocks.aspx,Positive,"If You're Retired, Consider Buying These 7 Stocks",The Motley Fool
