time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name,sentiment
2018-02-05 19:00:00-05:00,PYPL,paypal co founder max levchin gender diversity silicon valley affirm ceo max levchin co founder paypal discusses experience gender diversity silicon valley speaks emily chang bloomberg technology,"Affirm CEO Max Levchin, a co-founder of PayPal, discusses his experience with gender diversity in Silicon Valley. He speaks with Emily Chang on Bloomberg Technology.",https://www.youtube.com/watch?v=KNgeNUA3J1Q,Neutral,PayPal Co-Founder Max Levchin on Gender Diversity in Silicon Valley,Bloomberg Technology,0
2018-03-14 20:00:00-04:00,PYPL,paypal ceo digitization cash mad money paypal added verb english language venmo innovator cashless society keep capitalizing digital dependence jim cramer asked bankable ceo,"PayPal added a verb to the English language - as in, ""Just Venmo me"". Will this innovator of a cashless society keep capitalizing on our digital dependence? Jim Cramer asked its bankable CEO.",https://www.youtube.com/watch?v=EmnOVfTXIHI,Neutral,PayPal CEO: Digitization Of Cash | Mad Money,CNBC,0
2018-04-08 20:00:00-04:00,PYPL,reports paypal getting traditional banking win consumers fbn kristina partsinevelos reports paypal may enter traditional banking sector,FBN's Kristina Partsinevelos on reports PayPal may enter the traditional banking sector.,https://www.youtube.com/watch?v=cRL5kF_lscE,Neutral,Reports of PayPal getting into traditional banking a win for consumers?,Fox Business,0
2018-04-23 20:00:00-04:00,PYPL,hottest earnings charts week eyes hot stocks busy earnings week,All eyes will be on these hot stocks during this busy earnings week.,https://www.youtube.com/watch?v=3L5MNmTV0cA,Neutral,The Hottest Earnings Charts This Week,Zacks Investment Research,0
2018-04-24 20:00:00-04:00,PYPL,paypal holds losing ebay bloomberg julie verhage reports paypal first quarter results optimistic forecast bloomberg technology,Bloomberg's Julie Verhage reports on PayPal's first-quarter results and optimistic forecast on Bloomberg Technology.,https://www.youtube.com/watch?v=nhiS4mcHgEA,Neutral,PayPal Holds Its Own After Losing EBay,Bloomberg Technology,0
2018-04-25 20:00:00-04:00,PYPL,paypal cfo growth competition barclays partnership john rainey chief financial officer paypal discusses first quarter results company new payment partnership barclays speaks bloomberg markets european close,"John Rainey, chief financial officer at PayPal, discusses first-quarter results and the company's new payment partnership with Barclays. He speaks on Bloomberg Markets: European Close.",https://www.youtube.com/watch?v=vUXlj2MqEbo,Neutral,"PayPal CFO on Growth, Competition, Barclays Partnership",Bloomberg Technology,0
2018-05-03 20:00:00-04:00,PYPL,jim cramer tariffs jobs report fluor norwegian cruise line thestreet founder action alerts plus portfolio manager jim cramer weighs friday trending market topics including tariffs jobs report fluor norwegian cruise line,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Friday's trending market topics, including tariffs, jobs report, Fluor and Norwegian Cruise Line.",https://www.youtube.com/watch?v=-TZItcFfnxQ,Neutral,"Jim Cramer on Tariffs, Jobs Report, Fluor and Norwegian Cruise Line",The Street,0
2018-05-06 20:00:00-04:00,PYPL,jim cramer warren buffett apple mcdonald yum brands paypal thestreet founder action alerts plus portfolio manager jim cramer weighs monday trending market topics including berkshire hathaway ceo warren buffett comments apple along goldman sachs note mcdonald outlook yum brands cramer interview paypal ceo dan schulman,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Monday's trending market topics including Berkshire Hathaway CEO Warren Buffett's comments on Apple, along with a Goldman Sachs note on McDonald's, the outlook for Yum! Brands and Cramer's interview with PayPal CEO Dan Schulman.",https://www.youtube.com/watch?v=Zbykz-M_qoE,Neutral,"Jim Cramer on Warren Buffett, Apple, McDonald's, Yum! Brands and PayPal",The Street,0
2018-05-15 20:00:00-04:00,PYPL,jim cramer macy micron cbre welbilt paypal thestreet founder action alerts plus portfolio manager jim cramer weighs wednesday trending stocks floor new york stock exchange including macy micron cbre group welbilt paypal,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Wednesday's trending stocks from the floor of the New York Stock Exchange including Macy's, Micron, CBRE Group, Welbilt and PayPal.",https://www.youtube.com/watch?v=QkbcUZjptAw,Neutral,"Jim Cramer on Macy's, Micron, CBRE, Welbilt and PayPal",The Street,0
2018-05-16 20:00:00-04:00,PYPL,jim cramer cisco walmart world wrestling entertainment paypal thestreet founder action alerts plus portfolio manager jim cramer weighs thursday trending stocks floor new york stock exchange including cisco walmart world wide wrestling entertainment paypal square,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Thursday's trending stocks from the floor of the New York Stock Exchange, including Cisco, Walmart, World Wide Wrestling Entertainment, PayPal and Square.",https://www.youtube.com/watch?v=bJSSsZIWPxE,Neutral,"Jim Cramer on Cisco, Walmart, World Wrestling Entertainment and PayPal",Fox Business,0
2018-05-20 20:00:00-04:00,PYPL,paypal cfo democratizing financial services monthly downloads square cash app picking pace paypal keeping competition bay jim cramer sits cfo john rainey find,"Monthly downloads of Square's cash app are picking up the pace, so how is PayPal keeping the competition at bay? Jim Cramer sits with its CFO, John Rainey, to find out.",https://www.youtube.com/watch?v=iBmNs9yKYD4,Neutral,PayPal CFO: Democratizing Financial Services,CNBC,0
2018-05-23 20:00:00-04:00,PYPL,jim cramer north korea oil prices apple carnival corporation thestreet founder action alerts plus portfolio manager jim cramer weighs thursday trending market topics floor new york stock exchange including president trump move cancel north korea summit retreat oil prices apple services revenue growth may buying opportunity carnival corporation,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Thursday's trending market topics from the floor of the New York Stock Exchange, including President's Trump's move to cancel the North Korea summit, the retreat in oil prices, Apple's services revenue growth and why there may be a buying opportunity in Carnival Corporation.",https://www.youtube.com/watch?v=Nr0DWvi5ebU,Neutral,"Jim Cramer on North Korea, Oil Prices, Apple and Carnival Corporation",The Street,0
2018-06-21 20:00:00-04:00,PYPL,right ceo netflix stock ceo randall stephenson came bullish future tv wells fargo conference thursday makes sense light mega deal time warner netflix shares hovering around time high suggests stephenson temper enthusiasm,"AT&T's CEO Randall Stephenson came out very bullish on the future of TV at a Wells Fargo conference on Thursday. Makes sense in light of his mega deal for Time Warner. But, Netflix shares hovering around an all-time high suggests Stephenson should temper his enthusiasm.",https://www.youtube.com/watch?v=7vyuJhN5zOk,Neutral,Who's Right: AT&T's CEO or Netflix Stock?,The Street,0
2018-07-09 20:00:00-04:00,PYPL,paypal potential grow globally halo investing ceo halo investing ceo biju kulathakal predicts paypal acquisitions next years help company grow globally move investments trading aspects,"Halo Investing CEO Biju Kulathakal predicts that PayPal's acquisitions over the next few years will help the company grow globally and move in to investments, trading, and other aspects.",https://www.youtube.com/watch?v=ZNBqQx7TAcY,Neutral,PayPal has potential to grow globally: Halo Investing CEO,Fox Business,0
2018-07-10 20:00:00-04:00,PYPL,buy payments stocks rated analyst lisa ellis moffettnathanson payments analyst rated institutional investor discusses top picks comes payments stocks,"Lisa Ellis, MoffettNathanson payments analyst rated no. 1 by Institutional Investor, discusses her top picks when it comes to payments stocks.",https://www.youtube.com/watch?v=rtlFPuQIB2k,Neutral,Buy these payments stocks: No.1 rated analyst,CNBC Television,0
2018-07-22 20:00:00-04:00,PYPL,fabulous earnings charts hottest tech stocks hot year five big technology names looking soar even greater heights earnings season,"They've been hot all year, and now these five big technology names are looking to soar to even greater heights this earnings season.",https://www.youtube.com/watch?v=f_YcSdhN4MY,Neutral,The Fabulous Earnings Charts of the 5 Hottest Tech Stocks,Zacks Investment Research,0
2018-07-22 20:00:00-04:00,PYPL,hasbro halliburton utilities third point new paypal stake bltiz halftime report traders ubs erin browne give investors trades monday big movers,"The ""Halftime Report"" traders and UBS' Erin Browne give investors the trades on Monday's big movers.",https://www.youtube.com/watch?v=ewU_9uDulOE,Neutral,"Hasbro, Halliburton, utilities and Third Point's new PayPal stake in the bltiz",CNBC Television,0
2018-07-22 20:00:00-04:00,PYPL,third point paypal could next netflix amazon cnbc dominic chu reports dan loeb third point capital disclosing new stake paypal,CNBC's Dominic Chu reports on Dan Loeb's Third Point Capital disclosing a new stake in Paypal.,https://www.youtube.com/watch?v=e8-l2yZkJuM,Neutral,Third Point: Paypal could be the next Netflix or Amazon,CNBC Television,0
2018-07-24 20:00:00-04:00,PYPL,boeing weighs dow grubhub irobot jump earnings paypal set report investor business daily new report,Investor´s Business Daily´s new Report,https://www.youtube.com/watch?v=k_HTCbMfE_M,Neutral,"Boeing weighs on Dow; Grubhub, iRobot jump on earnings; PayPal set to report",Investors Business Daily,0
2018-07-25 20:00:00-04:00,PYPL,paypal falls revenue guidance cnbc aditi roy reports latest paypal quarterly earnings,CNBC's Aditi Roy reports the latest on Paypal's quarterly earnings.,https://www.youtube.com/watch?v=r3I_Q_WmEII,Neutral,Paypal falls on Q3 revenue guidance,CNBC Television,0
2018-07-30 20:00:00-04:00,PYPL,questions halftime traders either gang weighs,Either or? The gang weighs in.,https://www.youtube.com/watch?v=JkhmmFfrLdk,Neutral,Your questions for the Halftime traders,CNBC Television,0
2018-07-31 20:00:00-04:00,PYPL,bulls sip campbell soup plus options market saying microsoft halftime report traders jon pete najarian spot unusual options activity shares campbell soup johnson controls microsoft paypal,"""Halftime Report"" traders Jon and Pete Najarian spot unusual options activity in shares of Campbell Soup, Johnson Controls, Microsoft, and PayPal.",https://www.youtube.com/watch?v=vPyvfHjdbtY,Neutral,"Bulls sip on Campbell Soup. Plus, what the options market is saying about Microsoft",CNBC Television,0
2018-08-01 20:00:00-04:00,PYPL,final trade pypl sq fast money traders share final trades day including paypal cbs square celgene,"The ""Fast Money"" traders share their final trades of the day, including PayPal, CBS, Square and Celgene.",https://www.youtube.com/watch?v=I_vDh3j4H3U,Neutral,"Final Trade: PYPL, SQ & more",CNBC Television,0
2018-08-15 20:00:00-04:00,PYPL,stocks billionaires george soros warren buffett buying fbn kristina partsinevelos discusses stocks billionaires george soros warren buffett buying,FBN's Kristina Partsinevelos discusses what stocks billionaires George Soros and Warren Buffett are buying.,https://www.youtube.com/watch?v=lXIz4O44U6g,Neutral,"What stocks are billionaires George Soros, Warren Buffett buying?",Fox Business,0
2018-08-21 20:00:00-04:00,PYPL,netflix hit new highs foot locker buy ahead earnings plus trade paypal halftime report traders answer viewer questions paypal foot locker netflix,"The ""Halftime Report"" traders answer viewer questions on PayPal, Foot Locker, and Netflix.",https://www.youtube.com/watch?v=v3exjECVQ1o,Neutral,"When will Netflix hit new highs? Is Foot Locker a buy ahead of earnings? Plus, the trade on PayPal",CNBC Television,0
2018-08-23 20:00:00-04:00,PYPL,around federal reserve chairman jerome powell could slap markets jackson hole pay attention slow summer friday investors,"Pay attention on this slow summer Friday, investors.",https://www.youtube.com/watch?v=zyErQhEMrFk,Neutral,Around Federal Reserve Chairman Jerome Powell Could Slap Markets At Jackson Hole,The Street,0
2018-08-27 20:00:00-04:00,PYPL,final trades gilead paypal rh delta flir halftime report traders give top stocks watch second half,"The ""Halftime Report"" traders give their top stocks to watch for the second half.",https://www.youtube.com/watch?v=fZpBRHIptSU,Neutral,"Final Trades: Gilead, Paypal, RH, Delta and FLIR",CNBC Television,0
2018-08-29 20:00:00-04:00,PYPL,final trade lulu pvh pypl fast money traders share final trades day including lululemon pvh paypal,"The ""Fast Money"" traders share their final trades of the day, including Lululemon, PVH and PayPal",https://www.youtube.com/watch?v=O0zkW9endo4,Neutral,"Final Trade: LULU, PVH & PYPL",CNBC Television,0
2018-08-29 20:00:00-04:00,PYPL,earnings winners losers blitz halftime report traders take investors day biggest movers,"The ""Halftime Report"" traders take investors through some of the day's biggest movers.",https://www.youtube.com/watch?v=q5cZgPCEEHc,Neutral,Earnings winners...and losers in the blitz,CNBC Television,0
2018-09-04 20:00:00-04:00,PYPL,final trade pypl tgt fast money traders share final trades day including paypal target twitter kroger,"The ""Fast Money"" traders share their final trades of the day, including PayPal, Target, Twitter and Kroger.",https://www.youtube.com/watch?v=t46hTeNrEwc,Neutral,"Final Trade: PYPL, TGT & more",CNBC Television,0
2018-09-13 20:00:00-04:00,PYPL,freeport mcmoran buy square best bet fintech halftime report traders take viewer questions askhalftime,"The ""Halftime Report"" traders take viewer questions in #AskHalftime",https://www.youtube.com/watch?v=ZH0hE8hyt4I,Neutral,Is Freeport-McMoRan a buy? Is Square the best bet in fintech & more,CNBC Television,0
2018-09-20 20:00:00-04:00,PYPL,paypal bans infowars promoting hate cnbc dominic chu reports payment platform paypal banned alex jones infowars,CNBC's Dominic Chu reports that payment platform PayPal has banned Alex Jones' InfoWars.,https://www.youtube.com/watch?v=3bhvQm19nhc,Neutral,PayPal bans InfoWars for 'promoting hate',CNBC Television,0
2018-10-07 20:00:00-04:00,PYPL,final trades etp dis fast money traders share final trades day including energy transfer partners disney paypal bristol myers squibb,"The ""Fast Money"" traders share their final trades of the day, including Energy Transfer Partners, Disney, PayPal and Bristol-Myers Squibb",https://www.youtube.com/watch?v=jcNwEt87O1c,Neutral,"Final Trades: ETP, DIS & more",CNBC Television,0
