time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name
2020-06-08 09:03:00-04:00,BAC,top dividend stocks buy june invest money,Here's where to invest your money now.,https://www.fool.com/investing/2020/06/08/3-top-dividend-stocks-to-buy-in-june.aspx,Positive,3 Top Dividend Stocks to Buy in June,The Motley Fool
2020-06-07 08:00:00-04:00,BAC,ways invest support racial justice profitability everything seven publicly traded companies making strides support racial equality,Profitability isn't everything -- here are seven publicly traded companies making strides to support racial equality.,https://www.fool.com/investing/2020/06/07/7-ways-to-invest-to-support-racial-justice.aspx,Positive,7 Ways to Invest to Support Racial Justice,The Motley Fool
2020-06-06 10:00:00-04:00,BAC,safe cheap dividend stocks invest june article part monthly series highlight five companies large cap relatively safe dividend paying offering large discounts historical norms,"This article is part of our monthly series, where we highlight five companies that are large-cap, relatively safe, dividend-paying, and are offering large discounts to their historical norms.",https://seekingalpha.com/article/4352101-5-safe-and-cheap-dividend-stocks-to-invest-in-june-2020,Positive,5 Safe And Cheap Dividend Stocks To Invest In (June 2020),Seeking Alpha
2020-06-06 07:02:00-04:00,BAC,dirt cheap stocks simply ignore look attractive valuations solid businesses great growth prospects,"Look no further for attractive valuations, solid businesses, and great growth prospects.",https://www.fool.com/investing/2020/06/06/3-dirt-cheap-stocks-you-simply-shouldnt-ignore.aspx,Positive,3 Dirt-Cheap Stocks You Simply Shouldn't Ignore,The Motley Fool
2020-06-05 16:27:35-04:00,BAC,major buyers company stocks says mike mayo mike mayo wells fargo senior analyst says may jobs report supports bullish company thesis appears bloomberg markets,"Mike Mayo, Wells Fargo senior analyst, says the May jobs report supports a bullish bank thesis. He appears on ""Bloomberg Markets.""",https://www.youtube.com/watch?v=mYdlhl4J4jA,Positive,"We Are Major Buyers of Bank Stocks, Says Mike Mayo",Bloomberg Markets and Finance
2020-06-05 13:17:50-04:00,BAC,ubs company america units clear ecb stress test asset quality review stress test subsidiaries ubs company america revealed capital shortfall european central company said friday clearing hurdle banks relocate activities europe britain,"An asset quality review and a stress test on subsidiaries of UBS  and Bank of America  revealed no capital shortfall, the European Central Bank said on Friday, clearing a hurdle for the banks to relocate activities to Europe from Britain.",https://www.reuters.com/article/us-ubs-ecb/ubs-and-bank-of-america-units-clear-ecb-stress-test-idUSKBN23C2KR,Neutral,UBS and Bank of America units clear ECB stress test,Reuters
2020-06-05 12:07:32-04:00,BAC,wells fargo citigroup company stocks soaring friday market excellent day banks standout,"The market is having an excellent day, but the banks are a standout.",https://www.fool.com/investing/2020/06/05/heres-why-wells-fargo-citigroup-and-other-bank-sto.aspx,Positive,"Here's Why Wells Fargo, Citigroup, and Other Bank Stocks Are Soaring Friday",The Motley Fool
2020-06-05 07:06:00-04:00,BAC,company america best company stock company america looks like good value best company stock buy,Bank of America looks like a good value -- but is it the best bank stock you can buy?,https://www.fool.com/investing/2020/06/05/is-bank-of-america-the-best-bank-stock.aspx,Neutral,Is Bank of America the Best Bank Stock?,The Motley Fool
2020-06-05 06:16:39-04:00,BAC,company america stock still worth buying world greed espoused good argument buying continuing hold company america stock today makes sense post company america stock still worth buying appeared first investorplace,"In a world where greed has been espoused as good, the argument for buying or continuing to hold Bank of America stock today makes sense.
The post Bank of America Stock Is Still Worth Buying appeared first on InvestorPlace.",https://investorplace.com/2020/06/bank-of-america-stock-is-still-worth-buying/,Positive,Bank of America Stock Is Still Worth Buying,InvestorPlace
2020-06-05 00:39:51-04:00,BAC,company stocks buy banks part problem today part solution meaning good time look company stocks buy,"In 2008, banks were part of the problem. Today, they will be part of the solution, meaning now is a good time to look for bank stocks to buy.",https://investorplace.com/2020/06/5-bank-stocks-to-buy-now-because-this-isnt-2008-again/,Positive,5 Bank Stocks to Buy Now Because This Isn’t 2008 Again,InvestorPlace
