time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name,sentiment
2020-06-08 18:42:00-04:00,IGT,company game technology plc announces successful pricing senior secured notes london june prnewswire company game technology plc nyse igt igt today announced successful pricing senior secured notes due notes application made notes listed official list euronext dublin,"LONDON, June 8, 2020 /PRNewswire/ -- International Game Technology PLC (NYSE:IGT) (""IGT"") today announced the successful pricing of $750,000,000 5.25% senior secured notes due 2029 (the ""Notes""). Application has been made for the Notes to be listed on the Official List of Euronext Dublin...",https://www.prnewswire.com/news-releases/international-game-technology-plc-announces-successful-pricing-of-750-000-000-of-senior-secured-notes-301072379.html,Neutral,"International Game Technology PLC Announces Successful Pricing Of $750,000,000 Of Senior Secured Notes",PRNewsWire,0
2020-06-08 16:31:00-04:00,IGT,igt announces agreement sell historical horse racing machines churchill downs incorporated london june prnewswire company game technology plc igt nyse igt announced today entered agreement sell historical racing machines hrms churchill downs incorporated cdi hrms operate ainsworth game technology,"LONDON, June 8, 2020 /PRNewswire/ -- International Game Technology PLC (""IGT"") (NYSE: IGT) announced today that it has entered into an agreement to sell 1,250 historical racing machines (""HRMs"") to Churchill Downs Incorporated (""CDI""). The HRMs will operate on Ainsworth Game Technology's...",https://www.prnewswire.com/news-releases/igt-announces-agreement-to-sell-1-250-historical-horse-racing-machines-to-churchill-downs-incorporated-301072193.html,Neutral,"IGT Announces Agreement to Sell 1,250 Historical Horse Racing Machines to Churchill Downs Incorporated",PRNewsWire,0
2020-06-08 08:15:00-04:00,IGT,company game technology plc announces plans issue senior secured notes denominated u dollars london june prnewswire company game technology plc nyse igt igt today announced intends proceed benchmark offering senior secured notes denominated u dollars notes subject customary market closing conditions,"LONDON, June 8, 2020 /PRNewswire/ -- International Game Technology PLC (NYSE: IGT) (""IGT"") today announced that it intends to proceed with a benchmark offering of senior secured notes denominated in U.S. Dollars (the ""Notes""), subject to customary market and closing conditions (the...",https://www.prnewswire.com/news-releases/international-game-technology-plc-announces-plans-to-issue-senior-secured-notes-denominated-in-us-dollars-301071942.html,Neutral,International Game Technology PLC Announces Plans To Issue Senior Secured Notes Denominated In U.S. Dollars,PRNewsWire,0
2020-06-08 08:15:00-04:00,IGT,company game technology plc announces capped tender offer respect senior secured notes due london june prnewswire company game technology plc nyse igt igt announces launch offer purchase cash tender offer aggregate principal amount maximum acceptance amount senior secured notes due,"LONDON, June 8, 2020 /PRNewswire/ -- International Game Technology PLC (NYSE:IGT) (""IGT""), announces the launch of an offer to purchase for cash (the ""Tender Offer"") up to $300,000,000 aggregate principal amount (the ""Maximum Acceptance Amount"") of its 6.250% Senior Secured Notes due 2022...",https://www.prnewswire.com/news-releases/international-game-technology-plc-announces-capped-tender-offer-with-respect-to-its-6-250-senior-secured-notes-due-2022--301071944.html,Neutral,International Game Technology PLC Announces Capped Tender Offer With Respect To Its 6.250% Senior Secured Notes Due 2022,PRNewsWire,0
2020-05-25 06:45:00-04:00,IGT,company game technology plc releases notice annual general meeting annual report accounts london may prnewswire company game technology plc igt nyse igt announces today published notice annual general meeting agm annual report accounts period january december igt provided,"LONDON, May 25, 2020 /PRNewswire/ -- International Game Technology PLC (""IGT"") (NYSE: IGT) announces that it has today published its Notice of the 2020 Annual General Meeting (""AGM"") and 2019 Annual Report and Accounts for the period from January 1, 2019 to December 31, 2019. IGT provided...",https://www.prnewswire.com/news-releases/international-game-technology-plc-releases-notice-of-2020-annual-general-meeting-and-2019-annual-report-and-accounts-301063800.html,Neutral,International Game Technology PLC Releases Notice of 2020 Annual General Meeting and 2019 Annual Report and Accounts,PRNewsWire,0
2020-05-20 17:39:00-04:00,IGT,casino supplier stocks popped double digits wednesday casinos open doors u,Casinos are about to open their doors in the U.S.,https://www.fool.com/investing/2020/05/20/why-casino-supplier-stocks-popped-double-digits-on.aspx,Positive,Why Casino Supplier Stocks Popped by Double Digits on Wednesday,The Motley Fool,0
2020-05-20 16:31:00-04:00,IGT,igt introduces cashless gaming sweden igtpay technology london may prnewswire company game technology plc igt nyse igt announced today cashless gaming technology propelling new era gaming svenska spel venues throughout sweden igt intelligen systems product utilizing igtpay,"LONDON, May 20, 2020 /PRNewswire/ -- International Game Technology PLC (""IGT"") (NYSE: IGT) announced today that its cashless gaming technology is propelling the new era of gaming at Svenska Spel venues throughout Sweden. Through IGT's INTELLIGEN™ systems product utilizing IGTPay™...",https://www.prnewswire.com/news-releases/igt-introduces-cashless-gaming-in-sweden-with-igtpay-technology-301063089.html,Neutral,IGT Introduces Cashless Gaming in Sweden with IGTPay™ Technology,PRNewsWire,0
2020-05-18 15:27:04-04:00,IGT,company game technology plc igt ceo marco sala results earnings call transcript company game technology plc igt ceo marco sala results earnings call transcript,International Game Technology PLC (IGT) CEO Marco Sala on Q1 2020 Results - Earnings Call Transcript,https://seekingalpha.com/article/4348544-international-game-technology-plc-igt-ceo-marco-sala-on-q1-2020-results-earnings-call,Neutral,International Game Technology PLC (IGT) CEO Marco Sala on Q1 2020 Results - Earnings Call Transcript,Seeking Alpha,0
2020-05-18 08:05:02-04:00,IGT,company game technology igt beats earnings revenue estimates igt igt delivered earnings revenue surprises respectively quarter ended march numbers hold clues lies ahead stock,"IGT (IGT) delivered earnings and revenue surprises of 500.00% and 2.28%, respectively, for the quarter ended March 2020. Do the numbers hold clues to what lies ahead for the stock?",http://www.zacks.com/stock/news/930909/international-game-technology-igt-beats-q1-earnings-and-revenue-estimates,Positive,International Game Technology (IGT) Beats Q1 Earnings and Revenue Estimates,Zacks Investment Research,0
2020-05-18 07:22:13-04:00,IGT,company game technology earnings insights shares company game technology nyse igt moved higher pre market trading company reported results,Shares of International Game Technology (NYSE:IGT) moved higher by 1.0% in pre-market trading after the company reported Q1 results.,https://www.benzinga.com/news/earnings/20/05/16053589/international-game-technology-q1-earnings-insights,Neutral,International Game Technology: Q1 Earnings Insights,Benzinga,0
